entry,sym,structure,prem,K,spot0,spot_exp,ret
2024-03-01,PFC,OTM,13.7,425.0,415.85,390.5,-1.0
2024-03-01,APOLLOHOSP,OTM,146.05,6250.0,6123.15,6360.0,-0.25429037254975073
2024-04-01,NMDC,OTM,6.45,217.5,213.65,252.8,4.163083223636099
2024-04-01,ACC,OTM,53.9,2620.0,2563.35,2573.15,-1.0
2024-04-01,TATACONSUM,OTM,16.95,1120.0,1095.1,1106.1,-1.0
2024-04-01,MPHASIS,OTM,74.75,2500.0,2472.85,2232.85,-1.0
2024-04-26,OFSS,OTM,268.55,7700.0,7534.95,7407.2,-1.0
2024-04-26,ZYDUSLIFE,OTM,22.85,980.0,956.4,1024.25,0.8869936034115137
2024-04-26,CIPLA,OTM,31.4,1440.0,1420.3,1462.2,-0.3062499999999986
2024-04-26,WIPRO,OTM,9.35,480.0,468.95,436.15,-1.0
2024-05-31,VOLTAS,OTM,45.25,1400.0,1368.7,1500.55,1.1930207197382758
2024-05-31,NAUKRI,OTM,179.45,5850.0,5729.8,6726.2,3.8343535941780296
2024-05-31,PNB,OTM,6.7,130.0,128.6,119.05,-1.0
2024-05-31,ONGC,OTM,7.85,272.5,266.5,267.2,-1.0
2024-06-28,RECLTD,OTM,18.65,540.0,527.7,607.95,2.5298701298701323
2024-06-28,PFC,OTM,17.3,500.0,487.75,525.05,0.3994413407821202
2024-06-28,SAIL,OTM,5.85,152.5,149.85,142.55,-1.0
2024-06-28,PNB,OTM,3.5,127.5,124.15,117.72,-1.0
2024-06-28,NMDC,OTM,7.85,252.5,247.85,229.87,-1.0
